Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29 00:00:00-05:00,24.192582780232982,24.192582780232982,24.072221671873614,24.17538833618164,1003200,0.0,0.0,0.0
1993-02-01 00:00:00-05:00,24.192585799653653,24.347335815429688,24.192585799653653,24.347335815429688,480500,0.0,0.0,0.0
1993-02-02 00:00:00-05:00,24.330136565947047,24.416108779960993,24.27855323753868,24.398914337158203,201300,0.0,0.0,0.0
1993-02-03 00:00:00-05:00,24.433296417757724,24.674018549952383,24.41610197974382,24.656824111938477,529400,0.0,0.0,0.0
1993-02-04 00:00:00-05:00,24.742790536085764,24.8115682721138,24.467679591973624,24.759984970092773,531500,0.0,0.0,0.0
1993-02-05 00:00:00-05:00,24.742794036865234,24.794377346184618,24.60523854534687,24.742794036865234,492100,0.0,0.0,0.0
1993-02-08 00:00:00-05:00,24.742794036865234,24.82876621906421,24.708405163985642,24.742794036865234,596100,0.0,0.0,0.0
1993-02-09 00:00:00-05:00,24.656818728917457,24.656818728917457,24.519263254837025,24.570846557617188,122100,0.0,0.0,0.0
1993-02-10 00:00:00-05:00,24.570858612167175,24.6224419402543,24.502080841384345,24.605247497558594,379600,0.0,0.0,0.0
1993-02-11 00:00:00-05:00,24.63962140567445,24.828760160358623,24.63962140567445,24.72559356689453,19500,0.0,0.0,0.0
1993-02-12 00:00:00-05:00,24.691220401798667,24.691220401798667,24.536470413208008,24.536470413208008,42500,0.0,0.0,0.0
1993-02-16 00:00:00-05:00,24.467677514729612,24.467677514729612,23.883066808123285,23.917455673217773,374800,0.0,0.0,0.0
1993-02-17 00:00:00-05:00,23.917464901217457,23.951853779580098,23.81429826612953,23.900270462036133,210900,0.0,0.0,0.0
1993-02-18 00:00:00-05:00,24.175385037800492,24.175385037800492,23.556385136405886,23.883079528808594,378100,0.0,0.0,0.0
1993-02-19 00:00:00-05:00,23.883084855428557,23.969057083129883,23.848695964348025,23.969057083129883,34900,0.0,0.0,0.0
1993-02-22 00:00:00-05:00,24.037823034236055,24.089406345468323,23.96904528592637,24.055017471313477,513600,0.0,0.0,0.0
1993-02-23 00:00:00-05:00,24.123789165153013,24.14098359791506,23.91745597200844,24.037817001342773,373700,0.0,0.0,0.0
