Date,Return_Pct,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ADX_14,ADXR_14_2,DMP_14,DMN_14,RSI_14,Dist_EMA_20,Dist_EMA_50,EMA_20_50_Ratio,OBV_ROC_5,Relative_Volume,Target_Direction
1993-04-12,1.1805267452435784,-1.3992685650109407,-1.4282872259013146,-1.4545508386765582,-0.7627497070559118,-0.07268263050627084,-1.4978986419760245,-0.2665344277270365,-0.15353043990740334,-0.23389617374160898,-1.0469763804039678,-0.9993440880377078,0.4416455465168752,0.6673881695220891,0.03754445668777435,0.06156900400064954,-0.01937542650471181,-0.10060686226512118,0.15530466578332627,4.700572620970373,1
1993-04-13,0.14299958538498958,-1.3992478765058798,-1.428346069025685,-1.4546866333438584,-0.7699140381756426,0.14595508209186217,-1.5030940513521343,-0.24824882954979954,-0.0761215414804093,-0.23976116749324244,-1.1196971260721575,-1.0289097250133226,0.7882411068564422,0.4499824653631103,0.14971733313773467,0.13057936235882123,0.03158610272571377,-0.08632406269375587,0.0989949236381439,0.4419783294962954,0
1993-04-14,-0.15701500534853374,-1.3992267835276508,-1.4284419067209106,-1.4548955963426775,-0.780449735089323,0.030328899929446825,-1.5173140740316722,-0.2368178125789587,-0.0320403703524961,-0.24201543775906872,-1.1872235327640477,-1.1242988317913263,0.6646155556412544,0.342821425334577,0.050241145744743934,0.04225123533367634,-0.02044823068209906,-0.07925086888816732,0.1319433516643433,-0.17224886899599323,0
1993-04-15,-0.03712224508665345,-1.3991846110663735,-1.4283721485041354,-1.454799210899537,-0.7779665342426556,0.016270959508186075,-1.523001822515727,-0.22796530165323306,-0.003488591032973545,-0.24193100926729075,-1.3014779102380711,-1.2184132907142164,0.44469083957005345,0.5705435173961574,0.050241145744743934,0.0226926248310011,-0.03001888009133815,-0.07392825339038873,0.10833797248397861,0.30050375481476815,0
1993-04-16,-0.03712224508665345,-1.3991609845479875,-1.4284679861993612,-1.4550106276644827,-0.7887326432733707,0.038457596139493476,-1.5357998615407231,-0.22123387108679102,0.013830585645428725,-0.24042795335733252,-1.4075712607496647,-1.3058052882854718,0.3241682845254435,0.4529130427073327,0.050241145744743296,0.005010497011898104,-0.03920850103056305,-0.07014605779466629,0.3263492281761241,-1.4758180047293437,0
1993-04-19,-0.3970228908760405,-1.399235688824982,-1.4286343413511482,-1.4552655334003863,-0.7969929165291592,-0.3529872958356074,-1.5364089040142348,-0.22500067710572014,0.0003536984394892401,-0.2400287999051574,-1.453553554308569,-1.3864608714477245,0.06678495012539175,0.6389661418196007,-0.28978684947707983,-0.19158710538283363,-0.16902368531678863,-0.08130253285478863,-0.06384840509002127,0.4258869542130583,0
1993-04-20,-0.45883186151314587,-1.3995011950540448,-1.4287822237091137,-1.4552993048827092,-0.7863779219256692,-0.8149369795588336,-1.5275787196006412,-0.23841123450321614,-0.03553538197315079,-0.24256934932870491,-1.3618682372903743,-1.3937131960007763,-0.2716591270618038,1.540287680466336,-0.656103303259478,-0.39974034046167656,-0.31391767265075854,-0.10766786586907867,-0.21124845054998134,2.060598554028779,0
1993-04-21,-0.09767960054778581,-1.3998347541689837,-1.4290040625533151,-1.4554126552200135,-0.7762853278912442,-0.8357018243217434,-1.5344124120155418,-0.25046393339067136,-0.06071145267037269,-0.24717209055480277,-1.2767318714877651,-1.3740048826063718,-0.4278010233033039,1.3042457219117425,-0.7073698464742606,-0.4074023622622638,-0.3320940072883253,-0.13356580815481578,-0.2226880255077153,-1.2621779675099996,0
1993-04-22,-1.1276460962892545,-1.4014278130415412,-1.4295586586433358,-1.4549607718108792,-0.6824254523714827,-1.7955327109691201,-1.5106917567563911,-0.2861389615125962,-0.14235319999564666,-0.25846217168015856,-1.0944903300739819,-1.2361230209313077,-0.8401966632077972,1.8086705125996554,-1.5027140667401613,-0.9280468473926812,-0.6928299099536405,-0.1975360318673218,-0.2647456545772001,-0.7554104084213914,0
1993-04-23,-0.40520053504818765,-1.4032203640109522,-1.4303905180819245,-1.4548611167598755,-0.5952910436706165,-1.8693564177157276,-1.516852513847736,-0.32239021939918816,-0.20916681586832397,-0.2752250087652672,-0.8759548832157702,-1.0832689521204066,-0.975894043203435,2.2003968831661065,-1.719268907144972,-1.037972006274144,-0.7974611100560162,-0.2672135987221223,-0.3103762449698858,-0.6591168438987144,0
1993-04-26,-0.7149713351670599,-1.405902998491156,-1.4312778408032563,-1.4540085130967104,-0.4321951746705813,-2.0524276789262528,-1.500023530839974,-0.3659828022370298,-0.28173089674676927,-0.2979316269330866,-0.6042936841518879,-0.8547957193942504,-1.2605912103670032,2.580452874477402,-2.0748973555595693,-1.2902227801777282,-0.9994759603540042,-0.35303514936651753,-0.3421120266676446,-1.2978663500604706,1
1993-04-27,0.8945203320495644,-1.4067909565300156,-1.4319987900040967,-1.454566782656692,-0.4165211355617166,-1.2227219495477248,-1.491913179179505,-0.3768651618105293,-0.2546208783265537,-0.318417642115416,-0.3520368564497111,-0.6178210917501922,-1.4590521578575424,2.043823922784599,-1.2114993447463167,-0.7285086212305678,-0.6674355617703011,-0.39335937860549547,-0.1954575525297194,0.2621909446316417,0
1993-04-28,-0.2214776983683851,-1.4075505364138683,-1.4328491426461791,-1.455503953613609,-0.4241405790063002,-1.264420553828526,-1.5050526905671495,-0.3882796433780648,-0.23431824672958654,-0.33724065273468284,-0.13240402335564658,-0.37052684622950993,-1.444008328072936,1.8652289234298742,-1.3202497696845148,-0.7665132639600631,-0.7125486261225364,-0.4349471902980163,-0.2776534305790655,-0.9645833632069921,1
1993-04-29,0.33235787691421453,-1.4077516796161544,-1.4335700857241178,-1.4567274001039328,-0.47093685802019525,-0.9103256129068075,-1.5078579589384484,-0.38683848318793146,-0.1846063929087251,-0.35199172620887814,0.08849914384621456,-0.1323604198302038,-1.567105207750891,1.7859586129150786,-0.9997734466404449,-0.5267856354491653,-0.5735429250539017,-0.4569253796732126,-0.03673889672965984,-0.9099462798734765,1
1993-04-30,0.08550128602034981,-1.4078754764958081,-1.4341616171969458,-1.4577711759315268,-0.5131879958013228,-0.7492967787043817,-1.5123421650551703,-0.38118292008768623,-0.13386468393593956,-0.3625865062904504,0.1484673108052148,0.008377537134683432,-0.84368647836063,1.4965635672386912,-0.8938786032253841,-0.43136488030250886,-0.5209296156217748,-0.47088561585489025,2.5916349903489664,-0.6123745646297223,1
1993-05-03,0.5139004218449679,-1.407670518182696,-1.434032211714737,-1.4577151111629163,-0.5201452690389353,-0.29735789794845857,-1.5108684836580695,-0.3620691350296654,-0.05823274666860605,-0.3669862147534436,0.23229345165096685,0.1617638992500022,-1.0359201995876002,1.4665804720646722,-0.4378321815139072,-0.13166848600128886,-0.3284416776490508,-0.4618105429324658,-2.5206610345718947,-0.7044541616529263,1
1993-05-04,0.26713247725630074,-1.4075985428768147,-1.4339397640659743,-1.4576029549700833,-0.5183308538200609,-0.04779206154102837,-1.5151356243126544,-0.33846765808163226,0.013956538732312269,-0.36547284192682267,0.18051504420469605,0.16588623794563134,-0.3372706565936577,1.1933927788576246,-0.203071720017827,0.01763145218506722,-0.2245153704366737,-0.4418786153755527,0.8523900524131589,0.6496086436218274,1
1993-05-05,0.20530697284840776,-1.4073960223688609,-1.4336994585508522,-1.4573263639903045,-0.5150226453447383,0.12665685569966553,-1.5209789730795482,-0.31308248307457787,0.07635183677483487,-0.3588486210378322,0.08510775649816833,0.1600568348026292,-0.16101327634799895,0.9577001439467305,-0.019758928290113154,0.12203893154544858,-0.14499491446273538,-0.4148798422038823,5.306281448171599,-0.10423637844937875,0
1993-05-06,-0.3393913450939099,-1.4073461404511767,-1.433644001391011,-1.4572655786317164,-0.5145459537205059,-0.14286960841366578,-1.5320425779642872,-0.2997288398350831,0.09494390248829826,-0.3507015093861059,0.014635877112594018,0.09852180594429254,-0.281467212998617,0.976268249948022,-0.28762087918491036,-0.05716842251513236,-0.25091107687634395,-0.4023949890178533,1.0095543111264105,-1.2324409964910679,0
1993-05-07,-0.21912406798633158,-1.4072992277498637,-1.4336070353936956,-1.4572382938009205,-0.5154722520633116,-0.30501536700739107,-1.5423157058640384,-0.2930335628734315,0.09248245431269164,-0.34275601689533547,-0.01458653872207693,0.03578909093183146,-0.40151817755648,1.173544124252415,-0.44560124289684816,-0.15842376652772383,-0.31215546223857804,-0.39800177402684483,0.32739625284963614,-0.8748816310213366,1
1993-05-10,0.1452643563564541,-1.4071822534575897,-1.4338843334387061,-1.4578970921702654,-0.5512343678065926,-0.10325168020721649,-1.5424593872575099,-0.28287025436096125,0.09954233890627247,-0.33423224369067095,-0.13017150479131934,-0.0578631503107718,0.027853397594285078,0.8655960807338361,-0.2857740515499405,-0.06757468330590123,-0.249427206355444,-0.3869573707969556,0.270043932099093,0.43760845444994156,1
1993-05-11,0.3269014951285991,-1.4069037549899555,-1.4341061743238748,-1.4586032321390425,-0.5967240788645418,0.27943994972533004,-1.5444718935207218,-0.265724664780709,0.12336866163053092,-0.32375683760421986,-0.20779441568210893,-0.11164404877584605,-0.19382706315208753,0.8738242243821221,0.022612938270526038,0.1056952400771275,-0.1283927076731991,-0.36332634885046394,0.09799989881327795,-1.2927949090004305,0
1993-05-12,-0.1579291743585925,-1.4066497849016584,-1.4343279866355032,-1.4592855598473882,-0.6400133586768787,0.22191247636450975,-1.553857795898629,-0.2549854051286785,0.12575079737068917,-0.31308630890093964,-0.2798728329378414,-0.20610494541521066,-0.3223694713989089,0.7110703045783805,-0.09999663916993687,0.019328019230991117,-0.17417706471242866,-0.3471076377859582,-0.003932843096352034,-1.5412141283080927,0
1993-05-13,-1.0655880973699088,-1.4066350709301072,-1.43486406094849,-1.4603543885748964,-0.6901099855394355,-0.7304374572926093,-1.5400228036566561,-0.2712910399794149,0.057244943829219415,-0.3080271486792201,-0.21831377049022543,-0.21419072912291115,-0.6750891677688976,1.506363394337583,-0.9913248049801766,-0.5146593006907892,-0.5220853817131853,-0.37162193827950857,-0.05169691155937571,0.9846412475876916,0
1993-05-14,-0.09834022592079184,-1.4064839646784955,-1.4354186182601343,-1.4615916751662077,-0.7544568322210801,-0.7347104052370773,-1.549725910548961,-0.2852366184498852,0.008584683428192453,-0.3069537887563548,-0.15305099532228314,-0.2176214019125558,-0.7826873333241107,1.4125787015576416,-1.0367626494856148,-0.5117684917097447,-0.5322689118214491,-0.39495670775478653,-0.055802984033684035,-0.7156432110344368,1
1993-05-17,0.26923913639895003,-1.4063066711218077,-1.4357698462588075,-1.4624543302685538,-0.8027408319602855,-0.33316025393434323,-1.5568567964913358,-0.2884132261880281,-0.0023064381975200676,-0.30677252919367815,-0.08395553153504083,-0.15185607529705894,-0.906346578856972,1.2891183431883713,-0.7372291450565811,-0.3264232685557519,-0.42037500301555086,-0.40346711909018135,-0.09213858176145935,-1.3839488529101294,0
1993-05-18,-0.09820736023110337,-1.4063206946045224,-1.4360101681016668,-1.4629135151544692,-0.8234371982798736,-0.361459907003754,-1.561599197752588,-0.2918783725084935,-0.011770547610049531,-0.30736648229558583,-0.052051872422561735,-0.10294707481567947,-0.8472618581227829,1.0429586891204394,-0.7894178183771098,-0.3413157093156982,-0.4345136514873085,-0.4127621555017558,-0.1663555700141562,0.6078415523423369,1
1993-05-19,1.7346636755678184,-1.4071088898296622,-1.4356959203870787,-1.461531942442134,-0.7226515080389112,1.4989605141706326,-1.5096286767529739,-0.25172493306222954,0.09421944207546372,-0.2992787117675237,-0.15954243388084605,-0.12227335620474596,0.7341017290965264,0.11529345309370143,0.570964654849369,0.5575344311186163,0.16007159567232743,-0.3541547981351058,-0.12868928722981415,-0.8993395306692503,1
1993-05-20,0.20240454534079538,-1.4076086403503658,-1.4349749548585014,-1.459629627228913,-0.6113347502729494,1.4074421942109474,-1.519623653151667,-0.2143571542905019,0.17175894779002598,-0.28483961918522116,-0.22396495928579238,-0.13864181985096802,0.9014985397343179,-0.022199900777442296,0.7104131075858561,0.6092838901768687,0.22426181889662822,-0.29392899959917046,0.004792684629517881,0.47198993675175077,0
1993-05-21,-0.8132476386411626,-1.4069200748395312,-1.43438341113987,-1.459132812971763,-0.6204035050767669,0.5704233830146264,-1.5101132942983975,-0.20442205408805872,0.1623693918400645,-0.2711696325345974,-0.36184894806384205,-0.26215179615608053,0.4783103068065757,0.2309558549724698,0.019834950963901254,0.14108399318558412,-0.05819283684511312,-0.27127085285066355,-0.134088551840419,3.315698867219339,1
1993-05-24,0.324286128752452,-1.405189632609974,-1.4334776197066506,-1.4590268741448187,-0.6957916824834628,0.8666862110858831,-1.512558858874545,-0.18835103012779486,0.17083266526203172,-0.2568064124845518,-0.4898840805006012,-0.3590259044809734,0.2296397879747294,0.01221064323225013,0.25199541613305143,0.2936609901404966,0.055125515637802186,-0.23802332176708452,-0.1256299104495436,-1.496878335298251,1
1993-05-25,0.1428545722608052,-1.4046539578166635,-1.4327936609947314,-1.4582001823085915,-0.6824576371388454,0.919601332915926,-1.524223731433581,-0.17203501422605155,0.17824112214343507,-0.2418363598896617,-0.5981767708445995,-0.48293963463738243,0.18415767614180162,-0.10364744946714204,0.36626901901736497,0.34056326543663146,0.10320155854741549,-0.20254665984974865,0.1611956464651182,2.69961102703492,1
1993-05-26,1.0405698465975677,-1.4046696810778452,-1.4317214715494149,-1.456075717712957,-0.5840152951296806,1.640790015869858,-1.5106243283217156,-0.13380855666029476,0.24121186777731668,-0.22170832386644398,-0.551147473016542,-0.5237141514055653,1.1113455702728787,-0.4423253625280622,0.9658245223844724,0.8352304585008672,0.4523181890967187,-0.13120419013182583,0.1854269998104204,0.24114757842452467,0
1993-05-27,-0.33282030671611296,-1.4043441036765403,-1.4308526481544779,-1.4546818736854477,-0.5351807785501586,1.1564800115504346,-1.5167899126290243,-0.11243853813941156,0.247702613480387,-0.20104862574462926,-0.49945015026309925,-0.5522015903162258,0.9555050014672859,-0.5877975157718749,0.6932672614937282,0.5879748574507738,0.3227463832477735,-0.08127891715957337,0.03064160680818654,-0.9776885340266007,0
1993-05-28,-0.45241855034636574,-1.4036055950207846,-1.4301501860342294,-1.4540152287035526,-0.5388040483032408,0.6862840822368598,-1.5131204047870044,-0.10743695558618299,0.21027987848559168,-0.18345425335467305,-0.5972364774920559,-0.577750285128239,0.5992702709712308,0.17592327464877489,0.3271668324584727,0.3050301401600217,0.15820274215207292,-0.054623898988765116,0.2837014297782709,-0.27069109847035466,1
1993-06-01,0.7975407850189642,-1.4038031602339935,-1.4293552905519884,-1.452260147083203,-0.449572742977737,1.186888784362084,-1.500316659183148,-0.08465395129897343,0.22663573985710617,-0.16452015946291348,-0.5787544628593672,-0.5424253164657544,1.213168542647776,-0.1822147126593042,0.7868458789435375,0.6805519752840679,0.4236074658209408,-0.0007230842106521066,0.24387819328076357,-1.603202812682296,0
1993-06-02,-0.1551874427375988,-1.4038699345703902,-1.428689804633891,-1.4508863156569098,-0.3839707419575295,0.9291128577121961,-1.4997019311883928,-0.07156107522947257,0.21449211589826522,-0.14658075938506754,-0.5615925921290132,-0.5830078654797572,0.8768004398442464,-0.4006248884981889,0.6807812464403084,0.5390892496298518,0.35585895020443553,0.040396816926216036,-0.021974046415364837,-1.8121029627734817,0
1993-06-03,-0.33282030671611296,-1.4037693385816932,-1.4281906861133837,-1.45000186641272,-0.34845565638283416,0.6095746220920737,-1.5085251778706172,-0.07059198217067959,0.17321286728751625,-0.13202257511028634,-0.5456676252681264,-0.5656890136880418,0.6797112955306975,-0.5285286619800338,0.41383435756762615,0.32168285867783514,0.2305231050734727,0.06351185524056724,-0.09192501192174705,-1.7201955705030352,0
1993-06-04,-0.3337259662335144,-1.4032819025794245,-1.4276915512651391,-1.4494920445613688,-0.347834505216801,0.3254209433536763,-1.5110842920883414,-0.07912988266678096,0.11543794765160344,-0.12219678005934602,-0.6297043236614003,-0.5993506480021967,0.41923876312125735,-0.051450901934374606,0.15360592778633486,0.1255330002660645,0.11034968778681502,0.07093649487693142,-0.0873248393203253,-1.3846358783284427,0
1993-06-07,-0.33483469145189454,-1.4025338894381607,-1.4272293967009797,-1.4493073434990131,-0.37394931459635256,0.05346114853982246,-1.5190961558951834,-0.09502108015413067,0.05007365447706355,-0.11772502580313977,-0.6880342583966265,-0.620695308939259,0.40703982007408473,-0.2003941843939844,-0.09963413742273972,-0.05172772609028409,-0.004989711067609899,0.06471878002670182,-0.1367063977848973,1.0585216778417157,0
1993-06-08,-0.8138181368045948,-1.402142443624536,-1.4270630252214556,-1.4493591738822378,-0.39432549672017253,-0.5637239204873461,-1.5171390826799556,-0.12817385943292306,-0.047158422693212035,-0.1212176276570239,-0.791114914129752,-0.7148813602317322,0.11431086539819599,0.6409278739129917,-0.6902780794360314,-0.4518613366921234,-0.27660796086164163,0.028639328029875812,-0.22544928853894594,0.5845280886663701,1
1993-06-09,0.26435517758683197,-1.4018858516389956,-1.426915130617687,-1.4493167447505337,-0.40421271876552656,-0.3515129348464215,-1.5190795998351785,-0.14818776558192,-0.09073694113111487,-0.1282797803185269,-0.9088005321037331,-0.8034792882707512,0.05404179451067762,0.39063906867811427,-0.46051998321635607,-0.2744255936656231,-0.175473796108288,0.007339808515362922,-0.18741624520335687,-1.132116073052258,1
1993-06-10,0.022944692934085575,-1.401506371929842,-1.426711787017946,-1.4492842533795087,-0.42019608292557964,-0.3314771620041278,-1.5302786507663042,-0.1635216677878512,-0.11341533458931735,-0.137199538070473,-0.9968380047439704,-0.8996791406357828,-0.07379686058680647,0.4302011438850726,-0.4139344935583747,-0.23378441820894413,-0.15879540620062596,-0.01005761344307504,-0.16546509205793633,-1.8137898718760925,1
