Date,Open,High,Low,Close,Volume,Return_Pct,EMA_20,EMA_50,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,ATRr_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ADX_14,ADXR_14_2,DMP_14,DMN_14,RSI_14,OBV
2026-01-02,683.842447277036,684.999261161205,677.9684744567207,681.309326171875,89377200,,,,,,,,,,,,,,,,,,
2026-01-05,684.6701449336617,687.5522884526621,684.5106074856512,685.846923828125,71927200,0.6660113816063129,,,,,,,,,,,,,,,,100.0,71927200.0
2026-01-06,686.0563439630641,690.4344019511112,685.9067890249802,689.92578125,69273800,0.5947183373089304,,,,,,,,,,,,,,,,100.0,141201000.0
2026-01-07,690.3047811958188,692.0699799720542,687.4426026835383,687.701904296875,75588300,-0.32233567922274053,,,,,,,,,,,,,,,,96.34150574725503,65612700.0
2026-01-08,686.9439569075789,688.7390423054183,685.6175622141362,687.632080078125,64019200,-0.010153268198576093,,,680.0155645284032,686.483203125,692.9508417215969,1.8842816742361599,0.5888173431435598,,,,,,,,,96.22247506706898,1593500.0
2026-01-09,688.7489932725086,693.4162394407576,687.3029303433501,692.1796264648438,80125500,0.6613342394092614,,,683.7707614221121,688.6572631835938,693.5437649450756,1.4191389600370934,0.8604176825449243,,,,,,,,,96.52371758759244,81719000.0
2026-01-12,688.7988836287034,694.1941832506386,688.7490319805348,693.2666625976562,63976000,0.1570453811771788,,,685.021059528722,690.1412109375001,695.2613623462781,1.4837981930749324,0.8052108629832558,,,,,,,,,96.59364545880358,145695000.0
2026-01-13,693.595779418591,694.194181802135,689.467040360938,691.8804931640625,78309700,-0.19994751058702853,,,685.2001308682973,690.5321533203125,695.8641757723278,1.5443227158582291,0.6264379375634792,,,,,,,,,93.99703715298237,67385300.0
2026-01-14,689.1180078469732,689.8360176539858,684.1714948792828,688.479736328125,94676700,-0.49152373416185835,,,685.7368041677815,690.6877197265625,695.6386352853434,1.433619106690057,0.2770126179468561,,,,,,,,,87.76375177309184,-27291400.0
2026-01-15,692.678285342935,693.5558934557131,689.3673203481677,690.3546142578125,77862000,0.272321439652945,,,687.5169672188642,691.2322265625,694.9474859061359,1.074967051843576,0.38189084213045793,,,,,,,,,88.22726518805204,50570600.0
2026-01-16,691.7707369284135,692.359156800422,688.22043529661,689.7761840820312,79289200,-0.08378739908954103,,,687.0272478095302,690.7515380859375,694.4758283623447,1.0783299264818764,0.36905505055756466,,,,,,,,,87.13066657104378,-28718600.0
2026-01-20,679.6338820353151,682.9049778344743,674.7272992054969,675.7345581054688,111623300,-2.0356785723545046,,,674.1462914041599,687.2451171875,700.3439429708401,3.8119807491528115,0.060626300692116115,,,,,,,,,65.76223732407786,-140341900.0
2026-01-21,677.7989248999835,686.8641332264262,676.2830453044572,683.5332641601562,127844500,1.1541079202094462,,,673.3308711455521,685.5756713867188,697.8204716278855,3.57212216016914,0.4166010393662434,,,,,,,,,70.1420134758077,-12497400.0
2026-01-22,687.9711412752974,689.2476843606095,685.0491285530771,687.103515625,77112200,0.5223230019727687,,,673.3230714822419,685.3004272460938,697.2777830099458,3.4955051208660195,0.5752707197839092,6.479460243634898,,,,25.068331592488438,,31.754831670500213,19.025139991658584,71.91337432434848,64614800.0
