Date,Open,High,Low,Close,Volume
1993-01-29,24.192565601886084,24.192565601886084,24.072204578991126,24.175371170043945,1003200
1993-02-01,24.19258011397669,24.34733009338379,24.19258011397669,24.34733009338379,480500
1993-02-02,24.33012705608688,24.41609923649708,24.27854374784076,24.39890480041504,201300
1993-02-03,24.433298307815196,24.674020458631105,24.4161038684712,24.65682601928711,529400
1993-02-04,24.74280387825436,24.81158165136973,24.46769278579288,24.759998321533203,531500
1993-02-05,24.74280166625977,24.79438499148477,24.605246132326425,24.74280166625977,492100
1993-02-08,24.74280166625977,24.828773874968103,24.70841278277643,24.74280166625977,596100
1993-02-09,24.656837869140965,24.656837869140965,24.519282288281044,24.57086563110352,122100
1993-02-10,24.570843374704168,24.622426670802216,24.502065646573435,24.60523223876953,379600
1993-02-11,24.639617604241085,24.82875632974468,24.639617604241085,24.725589752197266,19500
1993-02-12,24.691206966151533,24.691206966151533,24.536457061767575,24.536457061767575,42500
1993-02-16,24.46768531963861,24.46768531963861,23.88307442654816,23.917463302612305,374800
1993-02-17,23.91748398842571,23.95187289423222,23.814317271006196,23.90028953552246,210900
1993-02-18,24.175383107107777,24.175383107107777,23.556383255147693,23.88307762145996,378100
1993-02-19,23.883075352891787,23.969047546386715,23.84868647549381,23.96904754638672,34900
1993-02-22,24.03783256416239,24.08941589584514,23.969054788585385,24.05502700805664,513600
1993-02-23,24.12379682183436,24.140991260053774,23.917463563201423,24.037824630737305,373700
1993-02-24,24.05502457672593,24.34733009338379,24.05502457672593,24.34733009338379,26300
1993-02-25,24.33012705608688,24.41609923649708,24.27854374784076,24.39890480041504,44500
1993-02-26,24.45049255016737,24.45049255016737,24.312937036523675,24.433298110961918,66200
1993-03-01,24.519267144805543,24.519267144805543,24.33012833793818,24.364517211914062,66500
1993-03-02,24.381701160372547,24.725589752197266,24.34731230119008,24.725589752197266,182400
1993-03-03,24.759995732611237,24.84596794001613,24.725606849649274,24.82877349853516,280100
1993-03-04,24.86316567476745,24.86316567476745,24.691221237182617,24.691221237182617,89500
1993-03-05,24.725605072255902,24.82877171372568,24.60524399054117,24.622438430786133,40000
1993-03-08,24.674027663111037,25.172666549682617,24.674027663111037,25.172666549682617,50800
1993-03-09,25.121081696707066,25.138276140031294,25.03510948008589,25.086692810058597,169300
1993-03-10,25.08667849450692,25.138261795043945,24.983511893432865,25.138261795043945,194400
1993-03-11,25.15546836382077,25.22424613104926,25.035107271170908,25.06949615478516,70900
1993-03-12,24.863165897044222,24.880360340956425,24.6568325700978,24.811582565307617,643600
